policy_cd,record_cd,item_cd,year_susep,coverage_type,claim_vl,claim_deductible_vl,claim_expenses_vl,claim_notice_date,claim_liquidation_date,event_type,sinister_start_date,sinister_end_date
289596969,374275,790865,2021,110,13188.0,675.0,363.0,2020-11-26,2020-12-17,99,2020-11-23,2020-11-23
289596978,374285,791398,2021,110,16863.0,0.0,363.0,2020-11-10,2020-12-04,99,2020-11-02,2020-11-02
289597134,374461,805541,2021,110,5313.0,550.0,363.0,2021-05-26,2021-06-24,99,2021-05-20,2021-05-20
289597139,374466,806416,2021,110,5313.0,550.0,363.0,2021-02-11,2021-06-04,99,2021-02-10,2021-02-10
289597224,374563,809914,2021,110,363.0,0.0,363.0,2021-03-08,2021-04-01,20,2021-03-07,2021-03-07
289597337,374689,813670,2021,110,12675.0,0.0,363.0,2021-05-20,2021-06-14,99,2021-05-15,2021-05-15
296570855,8490161,11330098,2021,110,7500.0,0.0,0.0,2021-09-20,,99,2021-06-20,2021-06-20
296570855,8490161,11330098,2021,110,1000.0,0.0,0.0,2021-06-16,,99,2021-06-06,2021-06-06
296570855,8490161,11330098,2021,110,1000.0,0.0,0.0,2021-06-16,,99,2021-06-06,2021-06-06
296570855,8490161,11330098,2021,110,1000.0,0.0,0.0,2021-06-16,,99,2021-06-06,2021-06-06
296570855,8490161,11330098,2021,110,1000.0,0.0,0.0,2021-06-16,,99,2021-06-06,2021-06-06
293256145,5016386,7867310,2021,110,885.92,0.0,0.0,2020-11-11,2020-12-08,99,2020-10-13,2020-10-13
293256145,5016386,7867310,2021,110,885.92,0.0,0.0,2020-11-11,2020-12-08,99,2020-10-14,2020-10-14
293256145,5016386,7867310,2021,110,885.92,0.0,0.0,2020-11-11,2020-12-08,99,2020-10-15,2020-10-15
293256145,5016386,7867310,2021,110,885.92,0.0,0.0,2020-10-27,2020-11-05,99,2020-09-27,2020-09-27
289596698,373951,780876,2021,110,229863.0,2550.0,363.0,2020-11-04,2020-12-11,99,2020-10-31,2020-10-31
289596706,373959,781352,2021,110,363.0,0.0,363.0,2020-08-26,2020-10-01,17,2020-08-23,2020-08-23
289596731,373991,781792,2021,110,18363.0,0.0,363.0,2020-08-27,2020-09-28,99,2020-08-18,2020-08-18
289596441,373633,762657,2021,110,4863.0,500.0,363.0,2020-08-19,2020-11-09,99,2020-08-19,2020-08-19
289596444,373640,763299,2021,110,4863.0,500.0,363.0,2020-10-15,2021-01-12,99,2020-10-13,2020-10-13
289596446,373645,763631,2021,110,4863.0,500.0,363.0,2020-08-26,2020-11-26,11,2020-08-24,2020-08-24
289596486,373699,765499,2021,110,16563.0,0.0,363.0,2020-12-18,2021-01-20,99,2020-12-15,2020-12-15
289596684,373937,777220,2021,110,2050.5,187.5,363.0,2020-09-30,2020-10-26,99,2020-09-03,2020-09-03
289596686,373939,778504,2021,110,948.0,65.0,363.0,2021-01-21,2021-02-24,11,2021-01-19,2021-01-19
289596736,373996,782292,2021,110,13263.0,0.0,363.0,2020-09-01,2020-10-01,99,2020-08-31,2020-08-31
293256132,5016373,7867297,2021,110,1350.0,0.0,0.0,2020-10-27,2020-11-06,99,2020-09-30,2020-09-30
293256132,5016373,7867297,2021,110,1350.0,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-02,2020-10-02
293256132,5016373,7867297,2021,110,1350.0,0.0,0.0,2020-11-05,2020-12-03,99,2020-10-04,2020-10-04
293256132,5016373,7867297,2021,110,1350.0,0.0,0.0,2020-08-26,2020-09-15,99,2020-08-25,2020-08-25
293256132,5016373,7867297,2021,110,1800.0,0.0,0.0,2020-10-15,2020-10-23,99,2020-09-14,2020-09-14
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-04,2020-10-04
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-03,99,2020-10-08,2020-10-08
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-02,2020-10-02
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-02,2020-10-02
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-08-05,2020-08-31,99,2020-08-02,2020-08-02
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-08-12,2020-09-01,99,2020-08-06,2020-08-06
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-03,2020-10-03
293256151,5016392,7867316,2021,110,2022.19,0.0,0.0,2020-11-05,2020-12-02,99,2020-10-03,2020-10-03
293256151,5016392,7867316,2021,110,1800.0,0.0,0.0,2020-10-27,2020-11-05,99,2020-09-25,2020-09-25
